Date,Open,High,Low,Close,Volume,Daily_Return,Cumulative_Return,Month,Month_Name,Day_of_Week,Week
2023-01-02,101.57917169207069,101.70635810289996,100.55039873445622,101.04889100241274,1424431,,,1,January,Monday,1
2023-01-03,100.55043270655224,101.3113664410038,100.63389319996426,100.82024543352324,1206493,-0.2262722199336653,-0.2262722199336622,1,January,Tuesday,1
2023-01-04,102.85891837895366,102.79116600151825,101.30870342697862,102.18582339230875,696126,1.3544679968924722,1.1251309921539416,1,January,Wednesday,1
2023-01-05,105.50317647068327,106.30968042297623,104.6609225181871,105.3990424250925,903153,3.1444861196133544,4.304996699643041,1,January,Thursday,1
2023-01-06,106.04815924782626,105.00999982177622,104.35488785104454,104.95907197137993,1253382,-0.4174330654144853,3.8695931545392313,1,January,Friday,1
2023-01-09,104.16079951521479,105.38948956184464,104.39344657513298,104.52097241984796,858466,-0.41740036692723415,3.436041091586347,1,January,Monday,2
2023-01-10,108.86562968155967,108.22072787623496,105.16575778436263,107.92882699663843,1088763,3.2604505085367386,6.80852201936726,1,January,Tuesday,2
2023-01-11,109.76149228831783,109.70807233420743,109.5476522005219,109.65298474771564,1154926,1.5974951262380577,8.51478295303356,1,January,Wednesday,2
2023-01-12,108.32855679585363,108.94224045043343,107.43348612310693,108.68254563036497,814613,-0.885009304200346,7.5544170274664,1,January,Thursday,2
2023-01-13,109.65729994453174,110.92087495205531,109.15029707558068,109.92325146561876,988094,1.141587021225554,8.782244293006755,1,January,Friday,2
2023-01-16,108.78908783733998,109.59208976154507,108.92549412185866,108.96361884728418,500000,-0.8730023953437471,7.832572694620126,1,January,Monday,3
2023-01-17,108.23643457738159,108.8232475284336,106.09477415445848,108.00736933721507,795122,-0.8775860421902149,6.886249087717516,1,January,Tuesday,3
2023-01-18,108.86945144465953,109.12951332722064,107.90479357106678,108.58558944640038,949486,0.535352460423355,7.458467252062846,1,January,Wednesday,3
2023-01-19,104.26132395901384,105.58340199036017,102.66613891787792,104.56125792944356,750443,-3.706137745785587,3.475908436191503,1,January,Thursday,3
2023-01-20,101.0537913723621,101.16648977610076,100.35080122230723,101.06609849046282,1326482,-3.342690694615802,0.01702887372576356,1,January,Friday,3
2023-01-23,101.05686562113623,100.7371627082934,99.42349430327957,99.98588166824842,713971,-1.068822125666924,-1.0519752603112948,1,January,Monday,4
2023-01-24,98.87663821708509,99.66639999428313,97.40993536220765,98.02988393479846,911991,-1.9562739266928975,-2.9876696692714546,1,January,Tuesday,4
2023-01-25,98.9125927886425,99.23355469940064,97.7373882866275,98.69727300691652,1026148,0.6808016548932594,-2.3272081189293345,1,January,Wednesday,4
2023-01-26,96.98795880606187,97.61207607241762,96.36656669248747,96.96953290842755,1288254,-1.7505449196837386,-4.037014215116685,1,January,Thursday,4
2023-01-27,94.37259634218697,94.85415776842385,92.83501895316519,94.31599197395005,712827,-2.73646871846166,-6.663011302421822,1,January,Friday,4
2023-01-30,97.46824485894784,97.91182683502427,96.46360623525582,97.17016664071141,1232632,3.0261831604863954,-3.8384630679506273,1,January,Monday,5
2023-01-31,96.28582646213395,98.52753827751363,96.54120925354435,96.78075966935431,1002046,-0.40074745656961674,-4.223827981404071,1,January,Tuesday,5
2023-02-01,96.83524831066856,98.53809003384033,96.88785381644165,96.96002448752397,803698,0.18522774442162326,-4.046423938280654,2,February,Wednesday,5
2023-02-02,93.49667683888593,94.32861075415094,93.6980847131357,94.28327469180479,1092420,-2.760673597048846,-6.695388978040711,2,February,Thursday,5
2023-02-03,93.49521725940592,93.55130615382932,93.14315082490319,93.30896178395369,1039811,-1.03338891339525,-7.659588484028205,2,February,Friday,5
2023-02-06,93.8657306349602,94.40906821427089,92.31357504143294,93.56296278684916,879956,0.2722150134770285,-7.408224020375258,2,February,Monday,6
